Date,Username,User tag,Content,Mentions,link
"2022-11-01,13:25:46","Crolev","#3404","So the APR percentage will always be lower than APY percentage, but both numbers are accurate and describe the same process","",""
"2022-11-01,13:38:14","Twisted","#8812","Your tools are incredible.I love yearn.","Crolev#3404",""
"2022-11-01,14:44:07","NP","#6715","this is the GaugeController sir: https://bscscan.com/address/0x585ECE7932226CCf5A259c367781F07EBBB1950F#code

and this is one of the affected gauges:
https://bscscan.com/address/0xaCC31d29022C8Eb2683597bF4c07De228Ed9EA07

ive also sent you a friend request in case our timezones dont match up","wavey#9439",""
"2022-11-03,04:44:35","dafacto","#1282","Hi there, MIM claims at this site https://ybribe.yearn.farm/ are failing for everybody, with a ""Transaction Error"", even before MetaMask opens. The Chrome Dev Tools show an UNPREDICTABLE_GAS_LIMIT error. Is this the place to report/get help with this?","",""
"2022-11-03,06:52:08","dafacto","#1282","I guess I showed up outside operating hours 🙂","",""
"2022-11-03,07:57:54","Crolev","#3404","I let the web team know and I will ping you once this is fixed.
If this is an urgent matter for you then please post here (or DM me) etherscan tx with the last claim you've made and I will explain how to use etherscan to claim it.","dafacto#1282",""
"2022-11-03,08:07:08","dafacto","#1282","I used to claim at crv.finance, so this is the very first time I'm claiming at this Yearn site. Abracadabra moved their MIM bribes to this platform, but several users are reporting the same as me.","Crolev#3404",""
"2022-11-03,08:18:36","Crolev","#3404","FYI it should be fixed now","dafacto#1282",""
"2022-11-03,08:18:40","Crolev","#3404","Could you try again?","",""
"2022-11-03,08:20:17","dafacto","#1282","Trying now...","Crolev#3404",""
"2022-11-03,08:21:59","dafacto","#1282","It's fixed now. Thanks so much!","Crolev#3404",""
"2022-11-04,02:41:50","italianfoot","#3914","can I convert from one vault coin to another without first withdrawing it to my wallet? I am trying to convert ""Curve ibAUD"" into ""Staked yCRV""","",""
"2022-11-04,07:58:43","Cuter","#4882","Can't see deposit tab. I'm connected with metamask. Both on Chrome and Firefox","","https://cdn.discordapp.com/attachments/734811808401063966/1038044620506026036/Screenshot_2022-11-04_at_11.57.47.png"
"2022-11-04,07:59:46","Crolev","#3404","What is the URL of the website you are using?
It should be https://yearn.finance/#/vault/0xa258C4606Ca8206D8aA700cE2143D7db854D168c","Cuter#4882",""
"2022-11-04,08:00:02","Cuter","#4882","https://yearn.finance/#/vault/0xa258C4606Ca8206D8aA700cE2143D7db854D168c","",""
"2022-11-04,08:00:44","Crolev","#3404","hmm","",""
"2022-11-04,08:00:47","Cuter","#4882","It's the same, but I don't know how it works now","",""
"2022-11-04,08:01:04","Cuter","#4882","It's exactly the same though","",""
"2022-11-04,08:02:06","Cuter","#4882","Are there any deposit/withdrawal fees? I think there aren't, but just to be sure","Crolev#3404",""
"2022-11-04,08:05:49","Crolev","#3404","No there aren't, but if you are using zapping to trade one coin for another then there is a zap fee on the way","Cuter#4882",""
"2022-11-04,08:06:06","Crolev","#3404","so ETH/WETH into yvWETH vault is free on both withdrawal and deposit","",""
"2022-11-04,08:06:08","Cuter","#4882","No, just eth to yvEth","Crolev#3404",""
"2022-11-04,08:06:18","Cuter","#4882","Thanks","",""
"2022-11-04,08:06:20","Crolev","#3404","but i.e. LINK to yvWETH incurs a trading fee on the way in and out","",""
"2022-11-04,08:07:25","Cuter","#4882","Do you know how often are yvEth rewards harvested? would it make sense for me to deposit if I know will need to withdraw on monday?","",""
"2022-11-04,08:07:44","Cuter","#4882","(not small amount)","",""
"2022-11-04,08:15:52","Cuter","#4882","<@573280701378723882>","Crolev#3404",""
"2022-11-04,08:17:14","Crolev","#3404","You can check most recent harvests on:
https://yearn.watch/vault/0xa258C4606Ca8206D8aA700cE2143D7db854D168c
Go to the strategies tab, click on details of individual strategies and in the reports tab you will see most recent harvests and how often they are done.","Cuter#4882",""
"2022-11-04,09:10:41","Cuter","#4882","How can apy be 6.6 if each singular strategy has a lot lower apy?","Crolev#3404",""
"2022-11-04,09:16:07","Crolev","#3404","The APY you see on yearn.finance is based on the actual performance over the last 30 days which you can check here:
https://yearn.vision/?orgId=1&refresh=5m&viewPanel=24&from=now-30d&to=now
(select yvWETH 0.4.2 ETH on the list on the right)

As you can see over that time frame share price (which represents the ratio of vault tokens to the underlying tokens and its growth is how you get your yield) grew from 1.015990 to 1.021514. This means that the annualized APY is: (1.021514/1.015990)^(365/30)=1.068 so close to what you see in the UI.","Cuter#4882",""
"2022-11-04,09:16:59","Crolev","#3404","What you see in the individual strategies is couple last harvests so it's kind of comparing apples and oranges.","",""
"2022-11-04,09:18:58","Crolev","#3404","Unfortunately neither option will give you a definite answer as to what the future yield will look like because it's impossible to predict, but if you deposited 30 days ago and held ETH in the vault until now then the actual real yield you got is indicative of ~6.6-6.8% APY.","",""
"2022-11-04,09:19:48","Cuter","#4882","Thanks! All clear","",""
"2022-11-04,09:20:22","Cuter","#4882","Really helpful","",""
"2022-11-04,09:20:43","Cuter","#4882","10/10 mod would recommend","",""
"2022-11-04,09:25:19","Cuter","#4882","It says there is a 0.3% fee if I deposit eth instead of weth...","Crolev#3404",""
"2022-11-04,09:28:27","Crolev","#3404","hmm, it shouldn't charge the fee on just wrapping...
in that case I will let the web team know and in the meanwhile please use https://app.uniswap.org/#/swap to wrap ETH to WETH (swap of ETH to WETH wraps rathen than trades) and then deposit WETH.","Cuter#4882",""
"2022-11-04,09:29:21","Cuter","#4882","Yep, I know... just wanted to let you know","Crolev#3404",""
"2022-11-04,11:49:58","italianfoot","#3914","can I convert from one vault coin to another without first withdrawing it to my wallet? I am trying to convert ""Curve ibAUD"" into ""Staked yCRV""","",""
"2022-11-04,12:35:20","ONI","#6888","we have https://bowswap.finance but I think atm it only supports like-kind vaults. You could check there","",""
"2022-11-04,12:35:42","ONI","#6888","but generally you might need to just manually withdrawal convert on cowswap or matcha and deposit into the vault","",""
"2022-11-07,00:31:51","take3315","#0019","<@573280701378723882> hi, question regarding ybribe, what is current period & pending period? if i vote to the gauge by Wednesday which apy should i get, current or pending?","Crolev#3404",""
"2022-11-07,01:40:32","italianfoot","#3914","I am trying to convert ""Curve ibAUD"" into eth. What service do you recommend?","ONI#6888",""
"2022-11-07,07:20:50","Crolev","#3404","Are you holding the curve pool tokens or yearn vault tokens? If the latter then withdraw curve pool tokens from yearn.finance first and then go to curve.fi, withdraw either sAUD or ibAUD and trade it for something else. Unfortunately it seems that the pool is heavily unbalanced agaisnt ibAUD so keep in mind that you might pay high slippage for the trade.","italianfoot#3914",""
"2022-11-07,07:28:18","Crolev","#3404","The current period is right now for the CRV rewards being distributed to the curve pools, which means it was already voted on.
The pending period is for the future curve pool rewards, so you are voting for it now. Keep in mind that those APY levels might change as more people cast their votes.","take3315#0019",""
"2022-11-07,07:29:23","take3315","#0019","Got it, tkvm for clarification Crolev!","",""
"2022-11-07,12:26:34","Possessedferret","#5843","How often does the Curve MIM 3Pool harvest on Arbitrum? Haven't seen any updates for a while and my balance seems stagnant recently.","",""
"2022-11-07,12:29:06","ONI","#6888","https://yearn.vision/d/apkUMx6nz/vault-overview?orgId=1&var-networks=ARRB&var-exp=false&var-vaults=yvCurve-MIM%200.4.3&var-address=0x1dBa7641dc69188D6086a73B972aC4bda29Ec35d&var-version=v2
It should harvest at least every 2 days. Looks like it will harvest soon","Possessedferret#5843","https://cdn.discordapp.com/attachments/734811808401063966/1039199826929262682/image.png"
"2022-11-07,16:23:15","the_carrera","#8931","Anyone having issues withdrawing from the lusd vault?","",""
"2022-11-07,16:38:04","old_frog_","#6669","Can you describe your issue? Are tx failing?","the_carrera#8931",""
"2022-11-07,16:48:24","the_carrera","#8931","Sure, it’s the lusd vault https://yearn.finance/#/vault/0x378cb52b00F9D0921cb46dFc099CFf73b42419dC when I tie my wallet it shows my holdings but a balance and when I try to withdrawal nothing happens","",""
"2022-11-07,16:50:05","the_carrera","#8931","It shows a value for holdings but not a balance","",""
"2022-11-07,16:51:28","Crolev","#3404","could you post a screenshot of what you see after you click on withdraw button on yearn.finance page?","the_carrera#8931",""
"2022-11-07,16:53:29","the_carrera","#8931","The screen just blurs, nothing to interact with.","Crolev#3404",""
"2022-11-07,16:56:35","Crolev","#3404","Are you trying to withdraw LUSD or to zap into another token?","the_carrera#8931",""
"2022-11-07,16:57:43","the_carrera","#8931","I was trying to withdraw lusd, I currently have the yvlusd token in my wallet","",""
"2022-11-07,17:02:39","Crolev","#3404","Just to be sure - when you run transaction simulation it shows you the same value in the balance field and in the withdraw field, right?","the_carrera#8931",""
"2022-11-07,17:02:49","Crolev","#3404","Simulation runs after you enter the amount you want to withdraw","",""
"2022-11-07,17:04:01","the_carrera","#8931","I can’t make a simulation transaction,when I hit withdrawal the screen goes blurry. No next step to see a prospective transaction.","",""
"2022-11-07,17:04:48","Crolev","#3404","I mean before you click the button","",""
"2022-11-07,17:06:26","the_carrera","#8931","I navigate to my portfolio tab and it shows the vault , from there I go to vaults and select deposits.","",""
"2022-11-07,17:07:09","the_carrera","#8931","Under deposits it has a value but a 0 for balance. I tried hitting withdrawal under “deposits”","",""
"2022-11-07,17:07:43","the_carrera","#8931","It just blurs.","",""
"2022-11-07,17:11:08","Crolev","#3404","When I try to make a deposit I see that UI for some reason values LUSD at $0 which could be causing problems with smart contract routing. I reported this to the web team so that hopefully it gets fixed soon.

If this withdrawal is an urgent matter to you and you can't wait until web ui gets fixed then you can click on the etherscan icon (which is next to the vault name on the vault page) to go to the contract address in etherscan. Then click on the Contract tab and click on Write Contract button. Then scroll down to 26. withdraw method and click on it to make a withdrawal by interacting directly with the smart contract.","",""
"2022-11-07,17:12:14","the_carrera","#8931","Thank you for your help. I can wait. Could you let me know when it’s fixed?","",""
"2022-11-07,17:12:21","Crolev","#3404","Sure, I will ping you.","",""
"2022-11-08,04:39:25","Finn","#6387","Hi, am looking to get connected with BD or partnerships is this the right channel? 😅","",""
"2022-11-08,04:49:13","Crolev","#3404","Tell us about your protocol/company and your idea for partnership cooperation in <#766323679410913320>","Finn#6387",""
"2022-11-08,06:45:20","EduCrypto","#9102","The website doesn’t load. Can someone please help? 

https://yearn.finance/#/vault/0x5c0A86A32c129538D62C106Eb8115a8b02358d57","",""
"2022-11-08,06:49:36","EduCrypto","#9102","Pc","",""
"2022-11-08,06:50:42","EduCrypto","#9102","Done but doesn’t work","",""
"2022-11-08,06:51:24","EduCrypto","#9102","Also someone from crv tried and same thing happened. They requested to check with Yearn.","",""
"2022-11-08,06:52:51","Crolev","#3404","That was a scammer btw","EduCrypto#9102",""
"2022-11-08,06:52:56","Crolev","#3404","If you got a DM then do not reply","",""
"2022-11-08,06:53:20","Crolev","#3404","The only way to talk with mod/admin in DM is if you start DM first","",""
"2022-11-08,06:53:24","Crolev","#3404","Admin will never DM you first","",""
"2022-11-08,06:55:12","Crolev","#3404","Anyways regarding the page not loading - I just clicked on the link and it loaded fine.","",""
"2022-11-08,06:55:43","Crolev","#3404","What do you see when you click on it? Have you tried other browsers and connecting via mobile Internet?","",""
"2022-11-08,06:57:04","EduCrypto","#9102","I tired on chrome","Crolev#3404",""
"2022-11-08,06:57:14","EduCrypto","#9102","On pc","",""
"2022-11-08,06:58:11","Crolev","#3404","Loads fine for me on Chrome...","","https://cdn.discordapp.com/attachments/734811808401063966/1039478938977710180/image.png"
"2022-11-08,06:59:12","Crolev","#3404","Could you please post a screenshot of what you see? Is it just a blank page?","",""
"2022-11-08,07:01:29","EduCrypto","#9102","Page opens but there is nothing on deposit or withdraw. I am away but will take screenshot and share it later. Thanks","",""
"2022-11-08,07:09:40","sam.roh","#8160","Hi, maybe i'm the only one who can't see the metrics on the [Vaults] section lol","",""
"2022-11-08,07:11:33","cryptodegen","#4205","","","https://cdn.discordapp.com/attachments/734811808401063966/1039482299949010944/image.png"
"2022-11-08,07:11:44","cryptodegen","#4205","can't deposit","",""
"2022-11-08,07:12:07","Crolev","#3404","Would you mind DMing me your eth address and the screenshot of what you see on the web page? I will report this to the web dev team.","sam.roh#8160",""
"2022-11-08,07:13:27","Crolev","#3404","Thank you for the screenshot, I will forward this to the web dev team. 
Could you please try to also go to the vault list on https://yearn.finance/vaults and click on the Deposit button there?
It should open a modal for you.","cryptodegen#4205",""
"2022-11-08,07:13:32","Crolev","#3404","","","https://cdn.discordapp.com/attachments/734811808401063966/1039482800128131093/image.png"
"2022-11-08,07:13:41","Crolev","#3404","","","https://cdn.discordapp.com/attachments/734811808401063966/1039482838828974150/image.png"
"2022-11-08,08:15:58","LATI || BLACK ~WATER","#8750","Hello","",""
"2022-11-08,08:16:08","LATI || BLACK ~WATER","#8750","Please I need the team email for support","",""
"2022-11-08,08:16:15","LATI || BLACK ~WATER","#8750","Proposal","",""
"2022-11-08,08:22:20","Crolev","#3404","Do you need support or do you want to make a proposal?
If you need technical support then just ask in this channel. If you want to make a business partnership proposal then tell us more about your protocol/company and your idea for partnership in <#766323679410913320>","LATI || BLACK ~WATER#8750",""
"2022-11-08,10:20:50","mfer1668","#9934","i cant see it either","sam.roh#8160",""
"2022-11-08,10:25:23","DonaldDuck","#0882","The same here","EduCrypto#9102",""
"2022-11-08,10:26:48","DonaldDuck","#0882","Days before I could see my st-ycrv and total gain, today i don't see anything","",""
"2022-11-08,10:26:50","Crolev","#3404","It's being worked on by devs right now. The subgraph is down. Sorry for the downtime.","",""
"2022-11-08,10:27:33","DonaldDuck","#0882","Thank you","Crolev#3404",""
"2022-11-08,10:38:23","DonaldDuck","#0882","The same to me, at first I took a hit 🙂","EduCrypto#9102",""
"2022-11-08,13:42:21","DonaldDuck","#0882","Will you post the solution when online? Thank you","Crolev#3404",""
"2022-11-08,14:03:00","Crolev","#3404","Yep, I will ping you when it gets resolved..","",""
"2022-11-08,14:22:53","DonaldDuck","#0882","If i can help you (screenshot or anything else) please ask","",""
"2022-11-08,22:15:39","cryptodegen","#4205","It work out now","Crolev#3404",""
"2022-11-09,02:53:02","DonaldDuck","#0882","Not sure but seems not working","","https://cdn.discordapp.com/attachments/734811808401063966/1039779630288224296/Screenshot_20221109_065045.jpg"
"2022-11-09,02:58:51","DonaldDuck","#0882","I mean I'm sure days ago I could see my st-yCRV in portfolio page, including total net income","",""
"2022-11-09,03:41:11","Barry Pooter","#5492","Yeah that should be working but it isn’t just wait for crolev to come back to you he asked if the devs","",""
"2022-11-09,04:07:43","DonaldDuck","#0882","Sorry, I've seen now that cryptodegen problem was different from mine...","",""
"2022-11-09,04:12:42","Joji","#0603","I have the same problem in my acc.","DonaldDuck#0882",""
"2022-11-09,04:22:37","sam.roh","#8160","the same as mine 🙂","DonaldDuck#0882",""
"2022-11-09,04:24:00","DonaldDuck","#0882","They are working on it 🙂","",""
"2022-11-09,07:43:25","iyield","#8108","Hey sorry if this is like the tenth time someone has asked this but does anyone else notice that optimism yearn finance contains no vaults now? Is this a maintenance thing and temporary or have all@optimism yearn vaults been removed?","",""
"2022-11-09,07:45:06","Crolev","#3404","Hello, sorry for the problem. It's caused by subgraph still being down and it's being worked on by devs already.","iyield#8108",""
"2022-11-09,07:46:13","Crolev","#3404","If you need to withdraw from your vault right now and you can't wait for UI to get fixed then you can do it by interacting directly with the smart contract on etherscan. The short tutorial how to do it is here: https://discord.com/channels/734804446353031319/734811808401063966/1039270802807332944","",""
"2022-11-09,08:13:02","iyield","#8108","No worries im@good just wanted to make sure it wasn’t something bad. You guys are best in the business so I figured it was prob some sort of temporary update or@sometning. Thanks for@letting me@know@. Ironically just took out my mim@from@mim@vault on yearn fantom@. I’ve read one million tweets and articles saying Mim is now@battle tested and proven safe and I’ve read another million tweets and articles saying it’s going to keep depegging and die@. So you know I’m just going around and making sure I can get out of my vaults if I need to. Best of luck to all my fellow@crypto defend. If SBF can’t beat a bear market what chance do us mere mortals have?!!😜😂","",""
"2022-11-09,09:13:31","PhatJay","#4958","I@blame@apple 🙂","",""
"2022-11-09,09:21:38","devScrooge","#1472","Hey guys, does anyone know if Yearn is using the Subgraph that they have published on their docs to show the vaults info in their front or do they use a different one? I am asking because the subgraph is 7M blocks behind the current one. https://thegraph.com/hosted-service/subgraph/yearn/yearn-vaults-v2-fantom","",""
"2022-11-09,10:24:33","Shatayen","#2158","What's up with the Optimism vaults? I don't see my deposits anymore.","",""
"2022-11-09,10:51:59","Crolev","#3404","Please check this response to a similar question: https://discord.com/channels/734804446353031319/734811808401063966/1039853132043255889","Shatayen#2158",""
"2022-11-09,11:56:01","NinjaT","#7670","Questions about yBribe, does it work now? I always get "" Transaction Failed "" messages when I try to claim rewards, how can I fix it? If I don't claim the reward in time within the current bribe, will it roll over to the next time? Thanks!","",""
"2022-11-09,13:00:14","ONI","#6888","is this via metamask on the web browser?","",""
"2022-11-09,13:12:46","NinjaT","#7670","yBribe: https://ybribe.com/","ONI#6888",""
"2022-11-09,13:28:07","ONI","#6888","can you dm me the address you are using for this? So we can test. Also admins will never dm you first","NinjaT#7670",""
"2022-11-09,13:46:42","NinjaT","#7670","I just fixed it by restarting computer, it's fine now, thanks!","ONI#6888",""
"2022-11-09,14:01:08","ONI","#6888","odd ok thanks if you see it again go to console and see what error it shows","",""
"2022-11-09,18:02:59","WiniC","#9225","hi there, I have the same issue except I deposited Curve stETH a few months back but the earned show ""-"" , could you enlighten me please? thanks","Glassmeadow#7658",""
"2022-11-09,19:31:30","the_carrera","#8931","Hi, it still isn’t fixed? Is that being worked on?","Crolev#3404",""
"2022-11-09,21:59:59","WiniC","#9225","Hi, any news pls?","",""
"2022-11-09,22:01:09","ONI","#6888","This is probably due to the subgraph error it is being resynced and should be up soon","",""
"2022-11-09,22:11:30","WiniC","#9225","Please let me know when it is back to normal 🙏","",""
"2022-11-09,22:12:01","Crolev","#3404","It's still being worked on, unfortunately it takes a lot of time.","",""
"2022-11-09,22:27:51","forever iron","#9291","my dashboard is not showing my holdings and on zapper the balance isnt adding upto what it should be?","",""
"2022-11-09,22:35:44","Crolev","#3404","Unfortunately there is a problem with subgraph right now which affects the UI. Not sure what could be the problem on the zapper side so try also viewing your address in debank.","forever iron#9291",""
"2022-11-09,22:36:53","Crolev","#3404","If debank also fails then you can go to etherscan, copy the number of vault tokens you hold, click on the vault token, go to contract tab, then read contract and multiply the number of vault tokens you hold by pricePerShare variable - the result will be the number of underlying tokens you can withdraw from your vault tokens","",""
"2022-11-09,22:37:53","forever iron","#9291","well the vault shows the correct price, its just not on the dashboard , but if its jsut a ui problem that should be resolved by yearn right?","",""
"2022-11-09,22:39:05","Crolev","#3404","Yep, you can see this problem already being reported in this channel in the messages above. Unfortunately it's something that is very time consuming to fix.","forever iron#9291",""
"2022-11-09,22:39:34","forever iron","#9291","no worries, just wanted to check, i should have read above first","",""
"2022-11-09,22:39:40","Crolev","#3404","No problem at all.","",""
"2022-11-09,22:46:28","likejonas","#1472","BACK UP <:ib:936063990608568421>","",""
"2022-11-10,02:59:11","EduCrypto","#9102","What’s the ETA for fixing the issue? Thanks","Crolev#3404",""
"2022-11-10,04:17:17","j.","#6352","https://tenor.com/view/we-dont-do-that-here-black-panther-tchalla-bruce-gif-16558003","",""
"2022-11-10,10:31:58","Crolev","#3404","What do you mean?","",""
"2022-11-11,02:15:13","Synthes1s","#8203","Probably a noob question, but I withdrew funds from the Curve Rocket Pool and now have rETH wst-ETH in my wallet. Where do I swap these back into something like ETH?","",""
"2022-11-11,02:27:54","Synthes1s","#8203","Okay no worries, figured it out. Swapped the LP tokens on Curve.","",""
"2022-11-11,19:17:34","Crolev","#3404","<@150130572075859968> <@907302360781586463> <@812902094952071189> <@853017059113304134>
FYI the subgraph is finally fixed. Please check if UI works OK for you now.","forever iron#9291、the_carrera#8931、Shatayen#2158、WiniC#9225",""
"2022-11-11,19:17:44","Crolev","#3404","<@799907758321041408> <@920140352072077323> <@916702453494345738> <@638896992621166622>","iyield#8108、DonaldDuck#0882、sam.roh#8160、mfer1668#9934",""
"2022-11-11,19:23:12","ONI","#6888","The eth subgraph is working now, sadly ftm is still getting fixed","Crolev#3404",""
"2022-11-11,19:27:38","DonaldDuck","#0882","Yep! Confirm it's working 👍","",""
"2022-11-11,23:14:51","Halfaro","#7673","Are my earnings values fixed on st or lp crv and how can I separate earnings vs price fluctuations- market conditions on my account balance? Thanks","",""
"2022-11-12,01:17:04","sam.roh","#8160","Yay! It does work now! Thanks 🙂","Crolev#3404",""
"2022-11-12,03:38:05","MaxG","#6499","Gm sers,

Anyone in the team knows if this contract is from Yearn? I couldn't find anything with ""Tradehandler"" in the Github.

https://etherscan.io/address/0xcadba199f3ac26f67f660c89d43eb1820b7f7a3b#code","","https://cdn.discordapp.com/attachments/734811808401063966/1040878133366243348/image.png"
"2022-11-12,04:14:47","j.","#6352","deployer receives tokens from yearn so yes","",""
"2022-11-12,04:40:07","MaxG","#6499","Thank you very much!","j.#6352",""
"2022-11-13,18:28:06","Power Serge | Coinshift","#6645","Whenever I attempt to connect my MetaMask wallet in the MetaMask browser, it takes me to the Apple Store to download MetaMask.  Anyway I can resolve this?","",""
"2022-11-13,19:07:57","Crolev","#3404","I let the web team know. Unfortunately until it gets fixed I can only recommend to use the desktop instead.","Power Serge | Coinshift#6645",""
"2022-11-13,19:12:18","Crolev","#3404","Alright got a response already:
> You can use a mobile browser and connect metamask through wallet connect
> We dont support the native metamask app since it injects code asynchronously to the web app, and for security reasons we dont allow it
So please try using a normal web browser, go to yearn.finance, click on connect in top right corner, select wallet connect and then click on metamask.","Power Serge | Coinshift#6645",""
"2022-11-13,19:18:38","Power Serge | Coinshift","#6645","Thanks for your help.","Crolev#3404",""
"2022-11-13,19:24:27","arberx","#3367","Ty crolev","",""
"2022-11-13,19:24:29","arberx","#3367","<:waifu:796581757990338570>","",""
"2022-11-13,21:40:33","j.","#6352","you're welcome","",""
"2022-11-14,06:41:15","leon131930","#3044","Hey everyone, I'd like to understand how debt allocation works. Can someone from the strat team share what your simulation approach is? (Which factors considered & which model do you use?)","",""
